"topic","term","beta"
2,"faster",8.80706538013056e-07
3,"faster",0.00029386383894486
4,"faster",8.63146410346709e-07
5,"faster",8.38298856895678e-07
6,"faster",9.00372033724334e-07
1,"read",8.90819393494524e-07
2,"read",8.80706538013056e-07
3,"read",0.000879815904514672
4,"read",8.63146410346709e-07
5,"read",8.38298856895678e-07
6,"read",9.00372033724334e-07
1,"write",8.90819393494524e-07
2,"write",8.80706538013056e-07
3,"write",0.000276107715745775
4,"write",3.53890028242151e-05
5,"write",8.38298856895678e-07
6,"write",9.99412957434012e-05
1,"speeds",3.65235951332755e-05
2,"speeds",8.80706538013056e-07
3,"speeds",8.87806159954261e-07
4,"speeds",9.4946105138138e-06
5,"speeds",8.38298856895678e-07
6,"speeds",9.00372033724334e-07
1,"samsung",8.90819393494524e-07
2,"samsung",8.80706538013056e-07
3,"samsung",8.87806159954261e-07
4,"samsung",0.00385912760066013
5,"samsung",8.38298856895678e-07
6,"samsung",9.90409237096768e-06
1,"brand",8.90819393494524e-07
2,"brand",8.80706538013056e-07
3,"brand",9.76586775949687e-06
4,"brand",0.000311595854135162
5,"brand",8.38298856895678e-07
6,"brand",9.00372033724334e-07
1,"add",8.10645648080017e-05
2,"add",8.80706538013056e-07
3,"add",0.0146585675070048
4,"add",8.63146410346709e-07
5,"add",0.00105709485854545
6,"add",9.00372033724334e-07
1,"like",8.90819393494524e-07
2,"like",8.80706538013056e-07
3,"like",0.0442580248798798
4,"like",8.63146410346709e-07
5,"like",0.0128100448322229
6,"like",9.00372033724334e-07
1,"never",2.76154011983302e-05
2,"never",0.0126214053962651
3,"never",8.87806159954261e-07
4,"never",8.63146410346709e-07
5,"never",8.38298856895678e-07
6,"never",9.00372033724334e-07
1,"appear",8.90819393494524e-07
2,"appear",8.80706538013056e-07
3,"appear",8.87806159954261e-07
4,"appear",0.00207241453124245
5,"appear",3.43702531327228e-05
6,"appear",9.00372033724334e-07
1,"searches",0.000232503861702071
2,"searches",8.80706538013056e-07
3,"searches",8.87806159954261e-07
4,"searches",8.63146410346709e-07
5,"searches",8.38298856895678e-07
6,"searches",9.00372033724334e-07
1,"playlists",8.90819393494524e-07
2,"playlists",8.80706538013056e-07
3,"playlists",0.0102461708920321
4,"playlists",8.63146410346709e-07
5,"playlists",8.38298856895678e-07
6,"playlists",0.015181172860626
1,"mp3",0.000285953025311742
2,"mp3",4.49160334386658e-05
3,"mp3",8.87806159954261e-07
4,"mp3",8.63146410346709e-07
5,"mp3",8.38298856895678e-07
6,"mp3",9.00372033724334e-07
1,"ever",8.90819393494524e-07
2,"ever",0.00497687264631178
3,"ever",0.000169570976551264
4,"ever",9.4946105138138e-06
5,"ever",8.38298856895678e-07
6,"ever",0.00446674565930643
1,"used",8.90819393494524e-07
2,"used",0.0154748945794274
3,"used",8.87806159954261e-07
4,"used",8.63146410346709e-07
5,"used",8.38298856895678e-07
6,"used",9.00372033724334e-07
1,"one",8.90819393494524e-07
2,"one",9.68777191814362e-06
3,"one",0.0277803425511287
4,"one",8.63146410346709e-07
5,"one",0.00949876434748494
6,"one",9.00372033724334e-07
1,"problem",0.0175856656469754
2,"problem",8.80706538013056e-07
3,"problem",8.87806159954261e-07
4,"problem",2.6757538720748e-05
5,"problem",4.27532417016796e-05
6,"problem",9.00372033724334e-07
1,"can",8.90819393494524e-07
2,"can",8.80706538013056e-07
3,"can",0.0608955123174227
4,"can",8.63146410346709e-07
5,"can",0.0464090630166017
6,"can",9.00372033724334e-07
1,"find",9.79901332843977e-06
2,"find",8.80706538013056e-07
3,"find",8.87806159954261e-07
4,"find",8.63146410346709e-07
5,"find",8.38298856895678e-07
6,"find",0.0159374853689545
1,"despite",0.000775903691733731
2,"despite",8.80706538013056e-07
3,"despite",8.87806159954261e-07
4,"despite",0.0010884276234472
5,"despite",9.22128742585246e-06
6,"despite",1.8907812708211e-05
1,"wonderful",1.8707207263385e-05
2,"wonderful",9.68777191814362e-06
3,"wonderful",8.87806159954261e-07
4,"wonderful",8.63146410346709e-07
5,"wonderful",8.38298856895678e-07
6,"wonderful",0.0016575849140865
1,"recommend",8.90819393494524e-07
2,"recommend",2.73019026784047e-05
3,"recommend",8.87806159954261e-07
4,"recommend",3.53890028242151e-05
5,"recommend",8.38298856895678e-07
6,"recommend",0.00664564598091932
1,"just",0.00604955450122131
2,"just",8.80706538013056e-07
3,"just",0.0332758626812456
4,"just",7.85463233415505e-05
5,"just",0.0205978412127837
6,"just",9.00372033724334e-07
1,"usually",8.90819393494524e-07
2,"usually",9.68777191814362e-06
3,"usually",1.86439293590395e-05
4,"usually",0.00251261920051927
5,"usually",9.22128742585246e-06
6,"usually",9.00372033724334e-07
1,"others",8.90819393494524e-07
2,"others",9.68777191814362e-06
3,"others",8.07903605558377e-05
4,"others",8.63146410346709e-07
5,"others",8.38298856895678e-07
6,"others",0.00270201647320673
1,"stated",8.90819393494524e-07
2,"stated",8.80706538013056e-07
3,"stated",8.87806159954261e-07
4,"stated",8.63146410346709e-07
5,"stated",8.38298856895678e-07
6,"stated",0.000108945016080645
1,"control",7.21563708730564e-05
2,"control",3.61089680585353e-05
3,"control",8.87806159954261e-07
4,"control",0.00725992445742616
5,"control",8.38298856895678e-07
6,"control",9.00372033724334e-07
1,"buttons",1.8707207263385e-05
2,"buttons",8.80706538013056e-07
3,"buttons",8.87806159954261e-07
4,"buttons",0.00240904163127766
5,"buttons",8.38298856895678e-07
6,"buttons",9.00372033724334e-07
1,"podcasts",8.90819393494524e-07
2,"podcasts",8.80706538013056e-07
3,"podcasts",0.000187327099750349
4,"podcasts",0.0044978559443167
5,"podcasts",8.38298856895678e-07
6,"podcasts",0.0125430828018137
1,"stop",8.90819393494524e-07
2,"stop",8.80706538013056e-07
3,"stop",8.87806159954261e-07
4,"stop",0.0232885532975645
5,"stop",8.38298856895678e-07
6,"stop",9.00372033724334e-07
1,"fixed",8.90819393494524e-07
2,"fixed",0.00110176387905433
3,"fixed",8.87806159954261e-07
4,"fixed",0.00826980575753181
5,"fixed",8.38298856895678e-07
6,"fixed",9.00372033724334e-07
1,"deleting",0.001871611545732
2,"deleting",5.37230988187964e-05
3,"deleting",1.86439293590395e-05
4,"deleting",8.63146410346709e-07
5,"deleting",8.38298856895678e-07
6,"deleting",9.90409237096768e-06
1,"reinstalling",0.00264662441807223
2,"reinstalling",8.80706538013056e-07
3,"reinstalling",9.76586775949687e-06
4,"reinstalling",8.63146410346709e-07
5,"reinstalling",8.38298856895678e-07
6,"reinstalling",9.00372033724334e-07
1,"first",8.90819393494524e-07
2,"first",0.00380553295075441
3,"first",9.76586775949687e-06
4,"first",8.63146410346709e-07
5,"first",0.00400790683481824
6,"first",9.00372033724334e-07
1,"world",3.65235951332755e-05
2,"world",8.80706538013056e-07
3,"world",8.87806159954261e-07
4,"world",8.63146410346709e-07
5,"world",8.38298856895678e-07
6,"world",0.00118939145654985
1,"problems",0.000811536467473512
2,"problems",0.00473908188104825
3,"problems",8.87806159954261e-07
4,"problems",0.00120926812089574
5,"problems",8.38298856895678e-07
6,"problems",9.00372033724334e-07
1,"sure",9.79901332843977e-06
2,"sure",0.00110176387905433
3,"sure",0.00343669764518294
4,"sure",3.53890028242151e-05
5,"sure",8.38298856895678e-07
6,"sure",6.39264143944278e-05
1,"highly",8.90819393494524e-07
2,"highly",3.61089680585353e-05
3,"highly",8.87806159954261e-07
4,"highly",8.63146410346709e-07
5,"highly",8.38298856895678e-07
6,"highly",0.00163957747341201
1,"nonetheless",8.90819393494524e-07
2,"nonetheless",8.80706538013056e-07
3,"nonetheless",8.87806159954261e-07
4,"nonetheless",7.85463233415505e-05
5,"nonetheless",8.38298856895678e-07
6,"nonetheless",9.00372033724334e-07
1,"especially",8.90819393494524e-07
2,"especially",8.80706538013056e-07
3,"especially",8.87806159954261e-07
4,"especially",1.81260746172809e-05
5,"especially",8.38298856895678e-07
6,"especially",0.00353936246457036
1,"paying",8.90819393494524e-07
2,"paying",0.00794485367941578
3,"paying",8.87806159954261e-07
4,"paying",0.000389279031066366
5,"paying",8.38298856895678e-07
6,"paying",9.00372033724334e-07
1,"prime",8.90819393494524e-07
2,"prime",0.000300320929462452
3,"prime",1.86439293590395e-05
4,"prime",9.4946105138138e-06
5,"prime",8.38298856895678e-07
6,"prime",9.00372033724334e-07
1,"wifi",0.0064593314222288
2,"wifi",8.80706538013056e-07
3,"wifi",8.87806159954261e-07
4,"wifi",8.63146410346709e-07
5,"wifi",8.38298856895678e-07
6,"wifi",9.00372033724334e-07
1,"worst",0.00141729365504979
2,"worst",0.00424588621976094
3,"worst",8.87806159954261e-07
4,"worst",8.63146410346709e-07
5,"worst",9.22128742585246e-06
6,"worst",9.00372033724334e-07
1,"always",0.0101027827416214
2,"always",1.84948372982742e-05
3,"always",2.75219909585821e-05
4,"always",8.63146410346709e-07
5,"always",8.38298856895678e-07
6,"always",0.00480888703212167
1,"says",0.00700273125226046
2,"says",0.000159407883380363
3,"says",8.87806159954261e-07
4,"says",8.63146410346709e-07
5,"says",8.38298856895678e-07
6,"says",9.00372033724334e-07
1,"offline",0.0154031581329138
2,"offline",9.68777191814362e-06
3,"offline",2.75219909585821e-05
4,"offline",8.63146410346709e-07
